X,Y,month,day,FFMC,DMC,DC,ISI,N temp,N RH,N wind,N rain,N area,temp,RH,wind,rain,area
4,3,aug,wed,92.1,111.2,654.1,9.6,0.655948553,0.494117647,0.544444444,0,0,20.4,42,4.9,0,0
4,3,aug,thu,91.7,114.3,661.3,6.3,0.565916399,0.529411765,0.4,0,0,17.6,45,3.6,0,0
4,3,sep,thu,92.9,137,706.4,9.2,0.890675241,0.282352941,0.244444444,0,0,27.7,24,2.2,0,0
4,3,sep,tue,90.3,80.7,730.2,6.3,0.572347267,0.741176471,0.544444444,0,0,17.8,63,4.9,0,0
4,3,oct,sun,92.6,46.5,691.8,8.8,0.443729904,0.588235294,0.3,0,0,13.8,50,2.7,0,0
2,2,feb,mon,84,9.3,34,2.1,0.446945338,0.470588235,0.6,0,0,13.9,40,5.4,0,0
2,2,feb,fri,86.6,13.2,43,5.3,0.395498392,0.6,0.1,0,0,12.3,51,0.9,0,0
2,2,mar,sun,89.3,51.3,102.2,9.6,0.36977492,0.458823529,0.644444444,0,0,11.5,39,5.8,0,0
2,2,mar,sun,89.3,51.3,102.2,9.6,0.176848875,0.694117647,0.7,0,0,5.5,59,6.3,0,0
2,2,aug,thu,93,75.3,466.6,7.7,0.604501608,0.411764706,0.544444444,0,0,18.8,35,4.9,0,0
2,2,aug,sun,90.2,99.6,631.2,6.3,0.668810289,0.388235294,0.3,0,0,20.8,33,2.7,0,0
2,2,aug,mon,91.1,103.2,638.8,5.8,0.742765273,0.364705882,0.344444444,0,0,23.1,31,3.1,0,0
2,2,aug,thu,91.7,114.3,661.3,6.3,0.59807074,0.517647059,0.5,0,0,18.6,44,4.5,0,0
2,2,sep,fri,92.4,117.9,668,12.2,0.739549839,0.435294118,0.5,0,0,23,37,4.5,0,0
2,2,sep,fri,92.4,117.9,668,12.2,0.63022508,0.388235294,0.6,0,0,19.6,33,5.4,0,0
2,2,sep,fri,92.4,117.9,668,12.2,0.63022508,0.388235294,0.7,0,0,19.6,33,6.3,0,0
4,5,mar,fri,91.7,33.3,77.5,9,0.553054662,0.305882353,0.5,0,0,17.2,26,4.5,0,0
4,5,mar,fri,91.2,48.3,97.8,12.5,0.508038585,0.317647059,0.844444444,0,0,15.8,27,7.6,0,0
4,5,sep,fri,94.3,85.1,692.3,15.9,0.569131833,0.435294118,0.4,0,0,17.7,37,3.6,0,0
5,4,mar,fri,91.7,33.3,77.5,9,0.501607717,0.294117647,0.7,0,0,15.6,25,6.3,0,0
5,4,aug,tue,88.8,147.3,614.5,9,0.556270096,0.505882353,0.5,0,0,17.3,43,4.5,0,0
5,4,sep,fri,93.3,141.2,713.9,13.9,0.887459807,0.352941176,0.144444444,0,0,27.6,30,1.3,0,0
9,9,feb,thu,84.2,6.8,26.6,7.7,0.215434084,0.929411765,0.344444444,0,0,6.7,79,3.1,0,0
9,9,feb,fri,86.6,13.2,43,5.3,0.504823151,0.505882353,0.344444444,0,0,15.7,43,3.1,0,0
1,3,mar,mon,87.6,52.2,103.8,5,0.266881029,0.847058824,0.344444444,0,0,8.3,72,3.1,0,0
1,2,aug,fri,90.1,108,529.8,12.5,0.47266881,0.776470588,0.3,0,0,14.7,66,2.7,0,0
1,2,aug,tue,91,121.2,561.6,7,0.694533762,0.223529412,0.744444444,0,0,21.6,19,6.7,0,0
1,2,aug,sun,91.4,142.4,601.4,10.6,0.627009646,0.458823529,0.7,0,0,19.5,39,6.3,0,0
1,2,aug,sun,90.2,99.6,631.2,6.3,0.575562701,0.517647059,0.244444444,0,0,17.9,44,2.2,0,0
1,2,aug,tue,94.8,108.3,647.1,17,0.59807074,0.6,0.5,0,0,18.6,51,4.5,0,0
1,2,aug,wed,92.1,111.2,654.1,9.6,0.533762058,0.552941176,0.1,0,0,16.6,47,0.9,0,0
1,2,aug,thu,91.7,114.3,661.3,6.3,0.649517685,0.529411765,0.4,0,0,20.2,45,3.6,0,0
1,2,sep,thu,92.9,137,706.4,9.2,0.691318328,0.176470588,0.1,0,0,21.5,15,0.9,0,0
1,2,sep,thu,92.9,137,706.4,9.2,0.816720257,0.317647059,0.244444444,0,0,25.4,27,2.2,0,0
1,2,sep,thu,92.9,137,706.4,9.2,0.720257235,0.4,0.244444444,0,0,22.4,34,2.2,0,0
1,2,sep,sun,93.5,149.3,728.6,8.1,0.813504823,0.423529412,0.4,0,0,25.3,36,3.6,0,0
6,5,mar,sat,91.7,35.8,80.8,7.8,0.559485531,0.294117647,0.544444444,0,0,17.4,25,4.9,0,0
6,5,aug,sat,90.2,96.9,624.2,8.9,0.47266881,0.694117647,0.644444444,0,0,14.7,59,5.8,0,0
8,6,mar,fri,91.7,35.8,80.8,7.8,0.559485531,0.282352941,0.6,0,0,17.4,24,5.4,0,0
8,6,aug,sun,92.3,85.3,488,14.7,0.668810289,0.376470588,0.7,0,0,20.8,32,6.3,0,0
8,6,aug,sun,91.4,142.4,601.4,10.6,0.585209003,0.505882353,0.544444444,0,0,18.2,43,4.9,0,0
8,6,aug,mon,91.1,103.2,638.8,5.8,0.752411576,0.258823529,0.3,0,0,23.4,22,2.7,0,0
4,4,sep,sun,89.7,90,704.4,4.8,0.572347267,0.752941176,0.144444444,0,0,17.8,64,1.3,0,0
3,4,feb,sat,83.9,8,30.2,2.6,0.408360129,0.564705882,0.2,0,0,12.7,48,1.8,0,0
3,4,mar,sat,69,2.4,15.5,0.7,0.559485531,0.282352941,0.6,0,0,17.4,24,5.4,0,0
3,4,aug,sun,91.4,142.4,601.4,10.6,0.372990354,1.023529412,0.5,0,0,11.6,87,4.5,0,0
3,4,aug,sun,91.4,142.4,601.4,10.6,0.636655949,0.458823529,0.6,0,0,19.8,39,5.4,0,0
3,4,aug,sun,91.4,142.4,601.4,10.6,0.636655949,0.458823529,0.6,0,0,19.8,39,5.4,0,0
3,4,aug,tue,88.8,147.3,614.5,9,0.463022508,0.776470588,0.6,0,0,14.4,66,5.4,0,0
2,4,aug,tue,94.8,108.3,647.1,17,0.646302251,0.470588235,0.444444444,0,0,20.1,40,4,0,0
2,4,sep,sat,92.5,121.1,674.4,8.6,0.774919614,0.341176471,0.5,0,0,24.1,29,4.5,0,0
2,4,jan,sat,82.1,3.7,9.3,2.9,0.170418006,0.917647059,0.344444444,0,0,5.3,78,3.1,0,0
4,5,mar,fri,85.9,19.5,57.3,2.8,0.408360129,0.611764706,0.7,0,0,12.7,52,6.3,0,0
4,5,mar,thu,91.4,30.7,74.3,7.5,0.585209003,0.341176471,0.344444444,0,0,18.2,29,3.1,0,0
4,5,aug,sun,90.2,99.6,631.2,6.3,0.688102894,0.388235294,0.344444444,0,0,21.4,33,3.1,0,0
4,5,sep,sat,92.5,88,698.6,7.1,0.652733119,0.529411765,0.344444444,0,0,20.3,45,3.1,0,0
4,5,sep,mon,88.6,91.8,709.9,7.1,0.559485531,0.658823529,0.6,0,0,17.4,56,5.4,0,0
4,4,mar,fri,85.9,19.5,57.3,2.8,0.440514469,0.505882353,0.644444444,0,0,13.7,43,5.8,0,0
3,4,mar,fri,91.7,33.3,77.5,9,0.604501608,0.211764706,0.5,0,0,18.8,18,4.5,0,0
3,4,sep,sun,89.7,90,704.4,4.8,0.733118971,0.458823529,0.4,0,0,22.8,39,3.6,0,0
3,4,sep,mon,91.8,78.5,724.3,9.2,0.607717042,0.411764706,0.3,0,0,18.9,35,2.7,0,0
3,4,mar,tue,88.1,25.7,67.6,3.8,0.508038585,0.317647059,0.844444444,0,0,15.8,27,7.6,0,0
3,5,mar,tue,88.1,25.7,67.6,3.8,0.498392283,0.317647059,0.7,0,0,15.5,27,6.3,0,0
3,4,mar,sat,91.7,35.8,80.8,7.8,0.372990354,0.352941176,0.7,0,0,11.6,30,6.3,0,0
3,4,mar,sat,91.7,35.8,80.8,7.8,0.488745981,0.317647059,0.544444444,0,0,15.2,27,4.9,0,0
3,4,mar,mon,90.1,39.7,86.6,6.2,0.340836013,0.352941176,0.444444444,0,0,10.6,30,4,0,0
3,4,aug,thu,93,75.3,466.6,7.7,0.63022508,0.423529412,0.344444444,0,0,19.6,36,3.1,0,0
3,4,aug,mon,91.5,145.4,608.2,10.7,0.331189711,0.870588235,0.244444444,0,0,10.3,74,2.2,0,0
3,4,aug,mon,91.5,145.4,608.2,10.7,0.549839228,0.505882353,0.6,0,0,17.1,43,5.4,0,0
3,4,sep,sun,92.4,124.1,680.7,8.5,0.723472669,0.494117647,0.6,0,0,22.5,42,5.4,0,0
3,4,sep,tue,84.4,73.4,671.9,3.2,0.575562701,0.529411765,0.344444444,0,0,17.9,45,3.1,0,0
3,4,sep,fri,94.3,85.1,692.3,15.9,0.636655949,0.588235294,0.6,0,0,19.8,50,5.4,0,0
3,4,oct,sun,92.6,46.5,691.8,8.8,0.662379421,0.282352941,0.6,0,0,20.6,24,5.4,0,0
3,5,mar,mon,87.6,52.2,103.8,5,0.289389068,0.576470588,0.244444444,0,0,9,49,2.2,0,0
3,5,sep,fri,93.5,149.3,728.6,8.1,0.553054662,0.505882353,0.344444444,0,0,17.2,43,3.1,0,0
3,5,oct,wed,91.4,37.9,673.8,5.2,0.511254019,0.541176471,0.4,0,0,15.9,46,3.6,0,0
2,5,oct,sun,92.6,46.5,691.8,8.8,0.495176849,0.411764706,0.1,0,0,15.4,35,0.9,0,0
4,6,feb,sat,68.2,21.5,87.2,0.8,0.495176849,0.470588235,0.3,0,0,15.4,40,2.7,0,0
4,6,mar,mon,87.2,23.9,64.7,4.1,0.450160772,0.458823529,0.344444444,0,0,14,39,3.1,0,0
4,6,mar,sun,89.3,51.3,102.2,9.6,0.340836013,0.541176471,0.544444444,0,0,10.6,46,4.9,0,0
4,6,sep,thu,93.7,80.9,685.2,17.9,0.565916399,0.494117647,0.344444444,0,0,17.6,42,3.1,0,0
3,5,mar,tue,88.1,25.7,67.6,3.8,0.479099678,0.447058824,0.3,0,0,14.9,38,2.7,0,0
3,5,aug,sat,93.5,139.4,594.2,20.3,0.565916399,0.611764706,0.644444444,0,0,17.6,52,5.8,0,0
3,6,sep,sun,92.4,124.1,680.7,8.5,0.553054662,0.682352941,0.144444444,0,0,17.2,58,1.3,0,0
3,6,sep,mon,90.9,126.5,686.5,7,0.501607717,0.776470588,0.344444444,0,0,15.6,66,3.1,0,0
9,9,jul,tue,85.8,48.3,313.4,3.9,0.578778135,0.494117647,0.3,0,0.000330021,18,42,2.7,0,0.36
1,4,sep,tue,91,129.5,692.6,7,0.697749196,0.447058824,0.244444444,0,0.000394192,21.7,38,2.2,0,0.43
2,5,sep,mon,90.9,126.5,686.5,7,0.704180064,0.458823529,0.2,0,0.000430861,21.9,39,1.8,0,0.47
1,2,aug,wed,95.5,99.9,513.3,13.2,0.749196141,0.364705882,0.5,0,0.000504199,23.3,31,4.5,0,0.55
8,6,aug,fri,90.1,108,529.8,12.5,0.681672026,0.6,0.988888889,0,0.000559202,21.2,51,8.9,0,0.61
1,2,jul,sat,90,51.3,296.3,8.7,0.533762058,0.623529412,0.6,0,0.000650875,16.6,53,5.4,0,0.71
2,5,aug,wed,95.5,99.9,513.3,13.2,0.765273312,0.376470588,0.6,0,0.000705878,23.8,32,5.4,0,0.77
6,5,aug,thu,95.2,131.7,578.8,10.4,0.881028939,0.258823529,0.444444444,0,0.000825052,27.4,22,4,0,0.9
5,4,mar,mon,90.1,39.7,86.6,6.2,0.424437299,0.470588235,0.6,0,0.000870888,13.2,40,5.4,0,0.95
8,3,sep,tue,84.4,73.4,671.9,3.2,0.778135048,0.329411765,0.4,0,0.000880056,24.2,28,3.6,0,0.96
2,2,aug,tue,94.8,108.3,647.1,17,0.559485531,0.505882353,0.744444444,0,0.000980895,17.4,43,6.7,0,1.07
8,6,sep,thu,93.7,80.9,685.2,17.9,0.762057878,0.294117647,0.5,0,0.001026732,23.7,25,4.5,0,1.12
6,5,jun,fri,92.5,56.4,433.3,7.1,0.745980707,0.458823529,0.6,0,0.001090902,23.2,39,5.4,0,1.19
9,9,jul,sun,90.1,68.6,355.2,7.2,0.797427653,0.341176471,0.244444444,0,0.001246746,24.8,29,2.2,0,1.36
3,4,jul,sat,90.1,51.2,424.1,6.2,0.790996785,0.505882353,0.2,0,0.001310916,24.6,43,1.8,0,1.43
5,4,sep,fri,94.3,85.1,692.3,15.9,0.646302251,0.552941176,0.544444444,0,0.001338418,20.1,47,4.9,0,1.46
1,5,sep,sat,93.4,145.4,721.4,8.1,0.951768489,0.317647059,0.3,0,0.001338418,29.6,27,2.7,0,1.46
7,4,aug,sun,94.8,108.3,647.1,17,0.52733119,0.552941176,0.144444444,0,0.001430091,16.4,47,1.3,0,1.56
2,4,sep,sat,93.4,145.4,721.4,8.1,0.919614148,0.317647059,0.244444444,0,0.001475927,28.6,27,2.2,0,1.61
2,2,aug,wed,92.1,111.2,654.1,9.6,0.591639871,0.529411765,0.4,0,0.001494261,18.4,45,3.6,0,1.63
2,4,aug,wed,92.1,111.2,654.1,9.6,0.659163987,0.411764706,0.444444444,0,0.001503429,20.5,35,4,0,1.64
7,4,sep,fri,92.4,117.9,668,12.2,0.610932476,0.4,0.644444444,0,0.001549265,19,34,5.8,0,1.69
7,4,mar,mon,90.1,39.7,86.6,6.2,0.517684887,0.341176471,0.344444444,0,0.001604268,16.1,29,3.1,0,1.75
6,4,aug,thu,95.2,131.7,578.8,10.4,0.652733119,0.482352941,0.444444444,0,0.001741777,20.3,41,4,0,1.9
6,3,mar,sat,90.6,50.1,100.4,7.8,0.488745981,0.364705882,0.944444444,0,0.001778446,15.2,31,8.5,0,1.94
8,6,sep,sat,92.5,121.1,674.4,8.6,0.572347267,0.658823529,0.2,0,0.001787613,17.8,56,1.8,0,1.95
8,5,sep,sun,89.7,90,704.4,4.8,0.572347267,0.788235294,0.244444444,0,0.001842617,17.8,67,2.2,0,2.01
6,5,mar,thu,84.9,18.2,55,3,0.170418006,0.823529412,0.5,0,0.001961791,5.3,70,4.5,0,2.14
6,5,aug,wed,92.1,111.2,654.1,9.6,0.533762058,0.552941176,0.1,0,0.0020993,16.6,47,0.9,0,2.29
6,5,aug,wed,96,127.1,570.5,16.5,0.752411576,0.388235294,0.5,0,0.002300979,23.4,33,4.5,0,2.51
6,5,mar,fri,91.2,48.3,97.8,12.5,0.469453376,0.305882353,1.044444444,0,0.002319314,14.6,26,9.4,0,2.53
8,6,aug,thu,95.2,131.7,578.8,10.4,0.665594855,0.529411765,0.244444444,0,0.002337648,20.7,45,2.2,0,2.55
5,4,sep,wed,92.9,133.3,699.6,9.2,0.704180064,0.411764706,0.2,0,0.002355983,21.9,35,1.8,0,2.57
8,6,aug,wed,85.6,90.4,609.6,6.6,0.559485531,0.588235294,0.444444444,0,0.00246599,17.4,50,4,0,2.69
7,4,aug,sun,91.4,142.4,601.4,10.6,0.646302251,0.458823529,0.6,0,0.002511826,20.1,39,5.4,0,2.74
4,4,sep,mon,90.9,126.5,686.5,7,0.569131833,0.458823529,0.244444444,0,0.002814345,17.7,39,2.2,0,3.07
1,4,aug,sat,90.2,96.9,624.2,8.9,0.45659164,0.623529412,0.2,0,0.003208537,14.2,53,1.8,0,3.5
1,4,aug,sat,90.2,96.9,624.2,8.9,0.652733119,0.458823529,0.544444444,0,0.004152763,20.3,39,4.9,0,4.53
6,5,apr,thu,81.5,9.1,55.2,2.7,0.186495177,0.635294118,0.644444444,0,0.004226101,5.8,54,5.8,0,4.61
2,5,aug,sun,90.2,99.6,631.2,6.3,0.617363344,0.517647059,0.3,0,0.004299439,19.2,44,2.7,0,4.69
2,5,sep,wed,90.1,82.9,735.7,6.2,0.588424437,0.529411765,0.244444444,0,0.004473617,18.3,45,2.2,0,4.88
8,6,aug,tue,88.8,147.3,614.5,9,0.463022508,0.776470588,0.6,0,0.00479447,14.4,66,5.4,0,5.23
1,3,sep,sun,92.4,124.1,680.7,8.5,0.768488746,0.376470588,0.744444444,0,0.004886143,23.9,32,6.7,0,5.33
8,6,oct,mon,84.9,32.8,664.2,3,0.61414791,0.376470588,0.444444444,0,0.004986983,19.1,32,4,0,5.44
5,4,feb,sun,86.8,15.6,48.3,3.9,0.398713826,0.623529412,0.244444444,0,0.005848704,12.4,53,2.2,0,6.38
7,4,oct,mon,91.7,48.5,696.1,11.1,0.540192926,0.529411765,0.5,0,0.00626123,16.8,45,4.5,0,6.83
8,6,aug,fri,93.9,135.7,586.7,15.1,0.668810289,0.4,0.544444444,0,0.006380404,20.8,34,4.9,0,6.96
2,5,sep,tue,91,129.5,692.6,7,0.565916399,0.541176471,0.344444444,0,0.006453742,17.6,46,3.1,0,7.04
8,6,mar,sun,89.3,51.3,102.2,9.6,0.36977492,0.458823529,0.644444444,0,0.006591251,11.5,39,5.8,0,7.19
1,5,sep,mon,90.9,126.5,686.5,7,0.675241158,0.494117647,0.244444444,0,0.00669209,21,42,2.2,0,7.3
6,4,mar,sat,90.8,41.9,89.4,7.9,0.427652733,0.494117647,0.1,0,0.006783763,13.3,42,0.9,0,7.4
7,4,mar,sun,90.7,44,92.4,5.5,0.36977492,0.705882353,0.444444444,0,0.007553812,11.5,60,4,0,8.24
6,5,mar,fri,91.2,48.3,97.8,12.5,0.376205788,0.388235294,0.444444444,0,0.007617982,11.7,33,4,0,8.31
2,5,aug,thu,95.2,131.7,578.8,10.4,0.778135048,0.329411765,0.3,0,0.007957171,24.2,28,2.7,0,8.68
2,2,aug,tue,94.8,108.3,647.1,17,0.790996785,0.258823529,0.5,0,0.007984672,24.6,22,4.5,0,8.71
4,5,sep,wed,92.9,133.3,699.6,9.2,0.781350482,0.294117647,0.444444444,0,0.00862638,24.3,25,4,0,9.41
2,2,aug,tue,94.8,108.3,647.1,17,0.790996785,0.258823529,0.5,0,0.009176415,24.6,22,4.5,0,10.01
2,5,aug,fri,93.9,135.7,586.7,15.1,0.75562701,0.423529412,0.6,0,0.009185582,23.5,36,5.4,0,10.02
6,5,apr,thu,81.5,9.1,55.2,2.7,0.186495177,0.635294118,0.644444444,0,0.010019801,5.8,54,5.8,0,10.93
4,5,sep,thu,92.9,137,706.4,9.2,0.691318328,0.176470588,0.1,0,0.010138975,21.5,15,0.9,0,11.06
3,4,sep,tue,91,129.5,692.6,7,0.446945338,0.694117647,0.7,0,0.010303986,13.9,59,6.3,0,11.24
2,4,sep,mon,63.5,70.8,665.3,0.8,0.726688103,0.447058824,0.4,0,0.010377324,22.6,38,3.6,0,11.32
1,5,sep,tue,91,129.5,692.6,7,0.694533762,0.388235294,0.244444444,0,0.010569836,21.6,33,2.2,0,11.53
6,5,mar,sun,90.1,37.6,83.7,7.2,0.398713826,0.635294118,0.4,0,0.011092369,12.4,54,3.6,0,12.1
7,4,feb,sun,83.9,8.7,32.1,2.1,0.282958199,0.8,0.244444444,0,0.011963258,8.8,68,2.2,0,13.05
8,6,oct,wed,91.4,37.9,673.8,5.2,0.649517685,0.435294118,0.3,0,0.012559129,20.2,37,2.7,0,13.7
5,6,mar,sat,90.6,50.1,100.4,7.8,0.485530547,0.752941176,0.444444444,0,0.012824979,15.1,64,4,0,13.99
4,5,sep,thu,92.9,137,706.4,9.2,0.710610932,0.4,0.2,0,0.013356679,22.1,34,1.8,0,14.57
2,2,aug,sat,93.5,139.4,594.2,20.3,0.736334405,0.364705882,0.8,0,0.014163397,22.9,31,7.2,0,15.45
7,5,sep,tue,91,129.5,692.6,7,0.665594855,0.435294118,0.244444444,0,0.015767665,20.7,37,2.2,0,17.2
6,5,sep,fri,92.4,117.9,668,12.2,0.63022508,0.388235294,0.7,0,0.017628616,19.6,33,6.3,0,19.23
8,3,sep,thu,93.7,80.9,685.2,17.9,0.745980707,0.305882353,0.544444444,0,0.021460526,23.2,26,4.9,0,23.41
4,4,oct,sat,90.6,43.7,686.9,6.7,0.591639871,0.294117647,0.344444444,0,0.02221224,18.4,25,3.1,0,24.23
7,4,aug,sat,93.5,139.4,594.2,20.3,0.163987138,1.129411765,0.644444444,0,0.023834843,5.1,96,5.8,0,26
7,4,sep,fri,94.3,85.1,692.3,15.9,0.646302251,0.552941176,0.544444444,0,0.023954017,20.1,47,4.9,0,26.13
7,3,mar,mon,87.6,52.2,103.8,5,0.353697749,0.541176471,0.644444444,0,0.025072421,11,46,5.8,0,27.35
4,4,mar,sat,91.7,35.8,80.8,7.8,0.546623794,0.317647059,0.544444444,0,0.026273331,17,27,4.9,0,28.66
4,4,mar,sat,91.7,35.8,80.8,7.8,0.546623794,0.317647059,0.544444444,0,0.026273331,17,27,4.9,0,28.66
4,4,sep,sun,92.4,124.1,680.7,8.5,0.54340836,0.705882353,0.144444444,0,0.027025045,16.9,60,1.3,0,29.48
1,3,sep,mon,88.6,91.8,709.9,7.1,0.398713826,0.858823529,0.7,0,0.027795094,12.4,73,6.3,0,30.32
4,5,sep,wed,92.9,133.3,699.6,9.2,0.623794212,0.223529412,0.144444444,0,0.029078508,19.4,19,1.3,0,31.72
6,5,mar,mon,90.1,39.7,86.6,6.2,0.488745981,0.317647059,0.344444444,0,0.02920685,15.2,27,3.1,0,31.86
8,6,aug,sun,90.2,99.6,631.2,6.3,0.520900322,0.694117647,0.344444444,0,0.029399362,16.2,59,3.1,0,32.07
3,4,sep,fri,93.3,141.2,713.9,13.9,0.59807074,0.576470588,0.4,0,0.032892083,18.6,49,3.6,0,35.88
4,3,mar,mon,87.6,52.2,103.8,5,0.353697749,0.541176471,0.644444444,0,0.033781306,11,46,5.8,0,36.85
